user_id,whisky_id,points_overall,nose_text,taste_text,finish_text,nose_rating,taste_rating,finish_rating
Pxrider,3,,,,,,,
ricallende,3,82.0,"Sweet Barley, Toast, Caramel, Vanilla, Toffee, Straw, Salted Pork Meat, Light Soot, Rubber and Diesel Oil, Iodine, Wet Rock, Apples and Pears, Citrus, Cinnamon, Pepper, Clove, Pineapple.","Sweet with a few Bitter and Sour flavours.Toasted Cereals, Sweet Barley, nice Grassy Peat, Salted Caramel, licorice, toffee, Honey, Vanilla, citrus and ginger.","Oily, Creamy,  Sweet Barley, Salted Caramel, Toffee, Vanilla, chocolate, Iodine, Soot, Tobacco, Leather.",,,
Allandale,3,87.0,Fragrant. Menthol.Markedly vegetal. Nutty vanilla pod.,"More assertively expressive. Sweeter. Leafy sweetness. Spring greens. Crushed almonds. Rooty, cedary.",Powerful.,,,
Luhmi,3,86.0,,,,88,88,86
bennythemonster,3,85.0,,,,,,
bennythemonster,3,85.0,,,,,,
kulideli,3,85.0,,,,,,
P.A.O.K.you_are,3,87.0,"Sea breeze, vanilla, lemon, coffee and fresh aroma.","Creamy, sweetness, coffee, vanilla, caramel, lemon, cinnamon, nuts, some salt and smoke.","Medium to long, peat, tobacco, sweetness and lemon.",,,
Marcallan 45 y.o.,3,83.0,,,,83,84,82
granella2003,3,87.0,,,,,,
pere,4,82.0,"Fresh, grass, fruity, honey sweetness, spices, wood, vanilla, caramel.","Malty, sweetish, spicy, oak, a bit of honey sweetness, a hint of coffee, could be thicker.","Fruity sweetness, oak, apricots, plums, improves over time.",,,
Rien,4,86.0,,,,87,85,86
Whiskydufftown,4,85.0,,,,90,87,83
GlenSikkes,4,,,,,,,
Malt Hans,4,85.0,,,,,,
granella2003,4,,,,,,,
mmaclean,4,86.0,"fresh, clean, honey, vanilla, delicate","smooth, silky, well balanced, fruits, honey, vanilla, oak","stimulating, long aftertaste, full bodied",,,
mmaclean,4,86.0,,,,86,86,86
mmaclean,4,86.0,,,,,,
ahroeen,7,90.0,,,,,,
Alex Fridays,7,88.0,,,,,,
Valérie,7,89.0,,,,88,89,89
topos,7,,,,,,,
ctu,7,89.0,,,,,,
gallfux,7,,"Interestingly, certain cowshed notes like those often found at Bruichladdich. Not as strong as some laddies, but I think I notice them. I haven't had one with Ardbeg yet. Smoked cheese. Juniper ham. Nice, but present smoke. A few floral notes. Herb mixture and a few spices. Baked apple and citrus notes.","Very pleasant, yet powerful. Nice mouthfeel. Glucose. Sweet, elegant and yet clear smoke. The smoke gradually gets dirty. The fruits are meadow fruit with occasional exotic notes. Savory biscuits.",The smoke becomes drier and ashier. Chocolate. Citrus pickled in salt.,,,
gaboruso,7,90.0,,,,89,90,90
Dris,7,90.0,,,,90,90,91
DocF,7,91.0,"Clearly smoky, citrus in the background, bicycle tube, bitumen in the sun, fall fruit, green walnut shells. Dejected, cold soot, cocooning, green branches. Campfire extinguished with water, from afar. Baked apple.","Sweet, pleasantly set smoke, pineapple juice, fresh straw, malt, turpentine and polished oak. Earl Gray, rooibos tea with vanilla flavor, papaya (!).","Long, creamy, real vanilla, pineapple juice with cough syrup and old resin, fir honey, malt gas station.",,,
robain,7,86.0,,,,85,87,85
hs305,8,90.0,,,,,,
helmutgw,8,86.0,,,,84,85,86
Allandale,8,,"Delightful gentle smokiness,but very restrained for a Lagavulin. Some floweriness.",Marshmallow. Digistive biscuits. Assam tea.,Smoky.Some of the pettiness that might be expected in Lagavulin. Slightly fruit. Warming.Firm. Long.,,,
TechnOBY,9,88.0,,,,87,89,89
GJR,9,88.0,,,,89,88,87
Crann feàrna,9,87.0,,,,89,88,90
Laga93,9,87.0,,,,87,88,86
Fight65,9,87.0,,,,87,87,86
Peter87,9,89.0,,,,89,89,89
Allandale,9,89.0,"Sea spray, peat smoke. Stings the back of the nose.","Peaty dryness like gunpowder tea. As the palate develops, oily, grassy, salty notes emerge.",Peat fire. Warming.,,,
st7,9,91.0,,,,93,91,90
Obanrules,9,91.0,,,,90,91,92
Timgig,9,89.0,,,,90,85,92
Baanaanaabob,10,92.0,,,,,,
lincolnimp,10,92.0,,,,,,
lincolnimp,10,92.0,,,,92,93,94
lincolnimp,10,92.0,"Sweet, peat is restrained, there are caramel notes mixed in with brine. There is also honeycomb, plain dark chocolate and ginger pudding with faint hints of orange.Delicate to be honest for Lagavulin.","Quite thick and creamy it is sweet at first but then the peat comes in and adds a little bitterness to balance the sweet notes. There is some lemon/lime, orange peel zest, a little ginger, very faint aniseed and some meaty notes.","Long, smooth and delicate, very good.",,,
franpincoffee,10,94.0,,,,,,
korry78,10,,,,,,,
markkerr02,10,93.0,,,,,,
Rossi99,10,93.0,,,,,,
checkpointuk,10,95.0,,,,,,
checkpointuk,10,95.0,,,,,,
