user_id,whisky_id,points_overall,nose_text,taste_text,finish_text,nose_rating,taste_rating,finish_rating
Pxrider,3,,,,,,,
ricallende,3,82.0,"Sweet Barley, Toast, Caramel, Vanilla, Toffee, Straw, Salted Pork Meat, Light Soot, Rubber and Diesel Oil, Iodine, Wet Rock, Apples and Pears, Citrus, Cinnamon, Pepper, Clove, Pineapple.","Sweet with a few Bitter and Sour flavours.Toasted Cereals, Sweet Barley, nice Grassy Peat, Salted Caramel, licorice, toffee, Honey, Vanilla, citrus and ginger.","Oily, Creamy,  Sweet Barley, Salted Caramel, Toffee, Vanilla, chocolate, Iodine, Soot, Tobacco, Leather.",,,
Allandale,3,87.0,Fragrant. Menthol.Markedly vegetal. Nutty vanilla pod.,"More assertively expressive. Sweeter. Leafy sweetness. Spring greens. Crushed almonds. Rooty, cedary.",Powerful.,,,
Luhmi,3,86.0,,,,88,88,86
bennythemonster,3,85.0,,,,,,
bennythemonster,3,85.0,,,,,,
kulideli,3,85.0,,,,,,
P.A.O.K.you_are,3,87.0,"Sea breeze, vanilla, lemon, coffee and fresh aroma.","Creamy, sweetness, coffee, vanilla, caramel, lemon, cinnamon, nuts, some salt and smoke.","Medium to long, peat, tobacco, sweetness and lemon.",,,
Marcallan 45 y.o.,3,83.0,,,,83,84,82
granella2003,3,87.0,,,,,,
pere,4,82.0,"Fresh, grass, fruity, honey sweetness, spices, wood, vanilla, caramel.","Malty, sweetish, spicy, oak, a bit of honey sweetness, a hint of coffee, could be thicker.","Fruity sweetness, oak, apricots, plums, improves over time.",,,
Rien,4,86.0,,,,87,85,86
Whiskydufftown,4,85.0,,,,90,87,83
GlenSikkes,4,,,,,,,
Malt Hans,4,85.0,,,,,,
granella2003,4,,,,,,,
mmaclean,4,86.0,"fresh, clean, honey, vanilla, delicate","smooth, silky, well balanced, fruits, honey, vanilla, oak","stimulating, long aftertaste, full bodied",,,
mmaclean,4,86.0,,,,86,86,86
mmaclean,4,86.0,,,,,,
ahroeen,7,90.0,,,,,,
Alex Fridays,7,88.0,,,,,,
Valérie,7,89.0,,,,88,89,89
topos,7,,,,,,,
ctu,7,89.0,,,,,,
gallfux,7,,"Interestingly, certain cowshed notes like those often found at Bruichladdich. Not as strong as some laddies, but I think I notice them. I haven't had one with Ardbeg yet. Smoked cheese. Juniper ham. Nice, but present smoke. A few floral notes. Herb mixture and a few spices. Baked apple and citrus notes.","Very pleasant, yet powerful. Nice mouthfeel. Glucose. Sweet, elegant and yet clear smoke. The smoke gradually gets dirty. The fruits are meadow fruit with occasional exotic notes. Savory biscuits.",The smoke becomes drier and ashier. Chocolate. Citrus pickled in salt.,,,
gaboruso,7,90.0,,,,89,90,90
Dris,7,90.0,,,,90,90,91
DocF,7,91.0,"Clearly smoky, citrus in the background, bicycle tube, bitumen in the sun, fall fruit, green walnut shells. Dejected, cold soot, cocooning, green branches. Campfire extinguished with water, from afar. Baked apple.","Sweet, pleasantly set smoke, pineapple juice, fresh straw, malt, turpentine and polished oak. Earl Gray, rooibos tea with vanilla flavor, papaya (!).","Long, creamy, real vanilla, pineapple juice with cough syrup and old resin, fir honey, malt gas station.",,,
robain,7,86.0,,,,85,87,85
hs305,8,90.0,,,,,,
helmutgw,8,86.0,,,,84,85,86
Allandale,8,,"Delightful gentle smokiness,but very restrained for a Lagavulin. Some floweriness.",Marshmallow. Digistive biscuits. Assam tea.,Smoky.Some of the pettiness that might be expected in Lagavulin. Slightly fruit. Warming.Firm. Long.,,,
TechnOBY,9,88.0,,,,87,89,89
GJR,9,88.0,,,,89,88,87
Crann feàrna,9,87.0,,,,89,88,90
Laga93,9,87.0,,,,87,88,86
Fight65,9,87.0,,,,87,87,86
Peter87,9,89.0,,,,89,89,89
Allandale,9,89.0,"Sea spray, peat smoke. Stings the back of the nose.","Peaty dryness like gunpowder tea. As the palate develops, oily, grassy, salty notes emerge.",Peat fire. Warming.,,,
st7,9,91.0,,,,93,91,90
Obanrules,9,91.0,,,,90,91,92
Timgig,9,89.0,,,,90,85,92
Baanaanaabob,10,92.0,,,,,,
lincolnimp,10,92.0,,,,,,
lincolnimp,10,92.0,,,,92,93,94
lincolnimp,10,92.0,"Sweet, peat is restrained, there are caramel notes mixed in with brine. There is also honeycomb, plain dark chocolate and ginger pudding with faint hints of orange.Delicate to be honest for Lagavulin.","Quite thick and creamy it is sweet at first but then the peat comes in and adds a little bitterness to balance the sweet notes. There is some lemon/lime, orange peel zest, a little ginger, very faint aniseed and some meaty notes.","Long, smooth and delicate, very good.",,,
franpincoffee,10,94.0,,,,,,
korry78,10,,,,,,,
markkerr02,10,93.0,,,,,,
Rossi99,10,93.0,,,,,,
checkpointuk,10,95.0,,,,,,
checkpointuk,10,95.0,,,,,,
Timo,11,92.0,"The nose reveals campfire, bacon - a Lagavulin. Old leather, smoke.","The taste is not complex. Sweet, smoky, peaty, sherry, dry.","The finish is long. Soft, a lot of smoke, warm.",,,
Ulcinj,11,91.0,,,,90,91,92
DarrenHJA,11,91.0,,,,93,90,91
55606882,11,94.0,,,,,,
maltandgrains,11,91.0,,,,93,90,91
mds51,11,91.0,"Smoke, ham, seaweed, salt, a little phenolic, honey","Sweet, smoky-ashen, slightly peppery, forest honey, vanilla, some green apple",The smoke covers the mouth and leaves an Avenger's chamber;),,,
hfos,11,90.0,,,,88,92,91
checkpointuk,11,,,,,,,
mmaclean,11,87.0,,,,,,
hs305,12,84.0,,,,82,86,83
ARDBERG,12,87.0,,,,87,88,85
Squinugie,12,92.0,,,,92,93,91
Lafroy,12,93.0,,,,93,92,94
MikerG2k,12,89.0,,,,90,89,88
jay83,12,91.0,,,,,,
CherryHeart,12,88.0,,,,,,
Teresa,12,91.0,,,,90,92,90
dram-drinker,12,85.0,"Salty, soy sauce, old paper resp. little cardboard","Little punchy, oily, creamy, little sweetness, little fruitiness, more old books, little metallic","Medium long, warm",85,86,84
Baanaanaabob,12,90.0,,,,,,
pere,13,82.0,"Honey, sweetish, fruity, a bit of oak, spices, a bit of malt, a bit of pencil shavings.","Sweet, fruity, spicy, malt, a bit of exotic fruits.","Fruity, a bit syrupy, spices, malt. Quite pleasant, but not so complex.",,,
whiskycuse,13,89.0,,,,,,
GlenSikkes,13,,,,,,,
markkerr02,13,85.0,,,,,,
Furtia,13,83.0,,,,,,
mmaclean,13,86.0,,,,,,
Feusi,13,,,,,,,
Punktar,14,90.0,,,,,,
ColdAesthetics,14,79.0,"Typical Balvenie, malt, light nuttiness, almost even hops, a little beery, ginger, apple with peel, light citrus notes, not particularly aromatic, not very different from the current standard","Fresh apple, mixed red and green, some orange peel, citrus notes are now stronger, the light nut is still there, some cereals, bright, young oak, vanilla and light honey, but all go something in a uniform porridge, including the malt and hops are easy to feel","Malt, dry, young oak, hops, apple seeds and peel, but not the pulp, short to medium",,,
Whiskydufftown,14,84.0,,,,82,87,84
Halem,14,80.0,,,,80,82,82
JacobaEd,14,83.0,,,,84,85,81
Bart Joosten,14,90.0,,,,92,88,92
Landryn,14,91.0,,,,94,92,87
lincolnimp,14,91.0,,,,90,90,90
Tommyknocker,14,75.0,"very nice fruitiness, apples, orange. Some honey, malt. Not very complex, but nice.","very gentle onset, little body, faint aromas of ginger, sugar, malt. Unfortunately, very little to discover here.","short, sweet",,,
kulideli,14,78.0,,,,,,
ASWhisky,15,88.0,"Smoke, caramel,  and here now (at Very Young not yet) clearly maritime notes  Sea, salt, again a nice citrus note and dark peat","Wow very beautiful peat smoke with sweetness, chocolate on the palate is dark and dry, coffee notes, a little citrus, a tingle on the tongue and palate .. dried cherries","long,  dark chocolate, salt and malty sweetness ... my salt liquorice, slightly smoky peat ... delicious! An Islay finish",,,
Tom na Gruagaich,15,85.0,"very direct peat, young, maritime, some sewing machine oil, beautiful fruit notes, tendency citrus, could also be something sour apple. Sweet and fragrant, maybe a bit dirty, musty at the end.","very straightforward, slightly vegetal, grassy, peaty, becoming very sweet in the mouth over time. Very unusual, but really good. Vanilla, sugar bomb, with lots of peat, some pepper.","peppery, sweet, peaty, the grassy notes are still there, in the end slightly tart, but with sweet undertones.",,,
hs305,15,80.0,,,,,,
gossm01,15,89.0,,,,,,
pere,15,80.0,,,,,,
maltaholic,15,83.0,,,,,,
gossm01,15,89.0,"Peat smoke, citrus, salty, malt","Ashy, honey sweetness, vanilla, oily",Pleasant and long-lasting,89,88,87
Lu Cifer,15,87.0,"initially slightly acidic, asbestos, ash, citrus flavors, machine oil, a little dirty. Later spices, a little like pumpkin compote with clove. A little later: aromas of lemons, smoke, tar, spices. Yes, now like an Ardbeg again :)","with a small start, warm, sweet, spices and smoke, some tar, slightly oily,  somewhat spicy, oak, barrel, coffee, lemons, some candied, some ash.  Pleasantly engaging, delicious! | Lukewarm alcohol comes through ...  + H2O:  sweetish, smoke, tar, somewhat softer and fruity, yes, the addition of water is good for him. Spices and condiments, barrel and coffee, clove.","Lemon notes, some smoke and tar, slightly spicy, long fades away with a hint of ash.",,,
GIORGOS,15,87.0,,,,87,86,87
mr.p9,15,86.0,,,,86,86,87
ASWhisky,16,86.0,"Citrus notes, clove, smoke, stagnation and sea, salty air, damp peat, stale tobacco smoke, wild heather honey","smoky bitter chocolate, moist peat, intense citrus, with acidity and sweetness, warming smoke smokes in the mouth and mixes with caramel sweetness",long and somewhat surprising at the end  Peat smoke with typical Ardbeg sweetness ... very tasty  At the end suddenly burnt rubber comes to it  a feeling like scorched earth ... with caramel sweetness  really great! And again and again smoke ...,,,
didi1893,16,88.0,"Blind tasting: Pale, but somehow powerful gold. Again the streaks run back slowly and oily after swinging into the glass. A subtle smoky aroma rises from the glass, a wonderful peat note comes out. The alcohol begins to biter and tingle immediately in the nose. The nose is slightly sprittig with a slight adhesive touch. Some sweetness and a hint of fruit fight through the fine smoky note.","A short fruity and sweet onset, then the smoke and peat hits. Immediately it bizzles and tingles in the entire mouth area. A cool and fresh aroma is created. After adding a good shot of water, a fruity peat note is created. Slight heat and pepper heat the palate. Floral aromas mingle with the sharpening smoke and peat.","Again smoke and peat dominate the finish. The sharpness increases, but does not seem unpleasant and disturbing. An aroma develops after a campfire and ashes that are only slightly smoldering.",,,
gossm01,16,88.0,,,,,,
Malthead19,16,83.0,"Vanilla, light smoke, honey, very pleasant despite 54%","oW: surprisingly pleasant soft start, aromatic light smoke, oak (note of wood here very clear), interesting combination of pepper, salt and sweetness (butter biscuit); with water: somehow noticeably loses character, significantly weaker in aroma, not an advantage, definitely better without water",mild medium-long finish; medium-long smoky aftertaste,,,
schengel10,16,83.0,"aromatic, wonderful smoke, fruits (green apples, citrus) and spice, some alcohol;","intense fruity approach, sparkling, spices (pepper, salt), sweetness (pastries, biscuits), full of campfire smoke;","good medium-long finish, citrus, pepper / ginger; in the aftertaste then salt and campfire smoke;",82,84,82
maltaholic,16,84.0,"An idea darker than its predecessor ""Still Young"",  gets some color.  The aroma is similar:  A subtle note of smoke, spices, wood.","In terms of taste, the focus is on spices,  the barrel flavors hold back.  There is a mix of bitter leaves, cloves and tobacco.","Quite a long finish, spicy, smoky.",85,83,83
gossm01,16,88.0,"Peat smoke, citrus, salty notes, malty sweetness","Earthy, ash, vanilla, chocolate, light oak, honey sweetness, dryness","pleasant, intense and long-lasting",89,89,90
Gregers,16,88.0,"Medicinal, band-aids, camphor, decent amount of peat smoke, bit of brine, tweed coats.","Heavy peat smoke, balanced with the right dose of sweetness. Some barley and oak notes. Not as medicinal as the nose suggested.","The smoke simmers down a bit and leaves nice flavours of leather, crystal sugar, and cooked fruits.",86,88,89
Baanaanaabob,16,87.0,,,,,,
mr.p9,16,87.0,,,,87,87,88
ASWhisky,17,87.0,"Wood, herbs, spicy  sweet apricot / orange  with floral notes  dark with light sweet fruit  a nice soft composition",light salt water with spicy pulp  and soft chocolate cream on the palate  hardly any smoke  already a touch of needles from the juniper tree  pleasant mouth,"Here you can feel most of his secret  fine sweetness, slightly fruity  a bit sour  soft smoke  sweet notes of wood that gently interfere  a very nice finish  wow good  the finish gets a good 89 points",,,
Kantenmechaniker,17,84.0,"beautiful, filigree, gentle slightly ashy smoke, in addition to not too intrusive Sherrynoten, sweet, slightly greasy, slightly bubbly, vanilla, old leather, spices","The mouthfeel is rather watery, sweet with sherry, a little shower, raspberry, but also slightly dry, the ashen smoke is there, a little bit of sulfur, rather thin in the taste, a bit more intense at the second sip, but also something of the classic violet","dry in the finish, the oak now strikes, wood, the smoke lingers on the palate for a long time, from time to time also red fruits come up, which go here however more in the sourish",86,83,84
Archer,17,85.0,,,,86,85,86
Archer,17,85.0,"Great spice with aromas of old leather and dark, dried fruits, clouded by a slight hint of smoke. In time, it will refresh and the fruits will be brighter.","Intensive start despite only 40% ABV. Grape-sweet peat smoke, which lays dry on the tongue. Feinherbe kitchen herbs with woody impact, pepper & salt. Bitter orange marmalade with pieces. Then milk chocolate.","Medium long and dry, with cold smoke and a compote of dark forest berries.",,,
Marko_I,17,,"dull, dry sweetness, warm wood smoke, dried fruits, raisins, milk chocolate ... later still a light freshness and a hint of phenol","dry-spicy-sweet, there is pepper, Storck giants, dark fruit (in moderation - sherry, blackberry jam?), molasses, campfire ... for 40% quite substantial","medium length, dark chocolate, ashes",,,
markkerr02,17,81.0,,,,,,
Dottore,17,86.0,,,,,,
Georges,17,78.0,,,,80,80,80
Georges,17,78.0,"Peat, sweet cherry, heather honey","Smoke, peat, sherry, some lemon","Sweetsaltiness, rounded finish with warm smoke",,,
Feusi,17,79.0,,,,,,
Rosebank88,18,85.0,"First dark fruits and then becomes more and more maritime. Salt, iodine, citrus zests, bracken, nutty sherry.","Soft and slightly oily. At first nutty, slightly sherry tonic, salt, light peat smoke, bracken.","Elegant, long. Salted nuts, maybe some mustard.",,,
gerardsmike,18,85.0,,,,85,84,85
JacobaEd,18,86.0,,,,88,88,85
Daan Tje,18,85.0,,,,84,84,87
Archer,18,83.0,"Forest soil after a rain shower. Old leather. The smoke takes a while, but then changes nicely through the glass. Licorice.","Saline at the start, with a slightly perfumed note. Pepper resonates with a bit of greasy smoke. Orange slices, with lots of chocolate, toffee and caramel. Malt. Oak. Little smoky.","At the back come bitter herbs, the oak becomes more intense. The perfumed note from the palate remains until the end.",,,
korry78,18,,,,,,,
Marko_I,18,,"salty freshness, campfire, spicy oak ... then some toffee ... the fruity notes need time and some water, but then crashes into neat green apple and lime","there are again the violet notes, up towards blackberry (dark-tart-fruity), dominate almost everything except some ash and dark chocolate, I like very well, but can understand, if someone does not like or even feel soapy","medium length, violet / soap, chocolate, bitter ash",,,
Feusi,18,84.0,Green apple with spicy wood and toffee.,"Well balanced peat and smoke, malty sweetness with spicy oak.",A rather long finish with spicy smoke.,,,
Archer,18,83.0,,,,83,83,82
mer1973,18,82.0,,,,80,82,82
EinSpatzUnterVielen,19,85.0,"slight sulfur at the first sniffing, but this flies almost completely after 2 minutes, mild campfire smoke, sweet raisins, dark chocolate, vanilla, plum jam with cinnamon, leather, sweet tobacco, maritime touch","sweet, orange, blackberries, dark chocolate, glides over in espresso, in the background the Bowmore lemon, leather, maggi, burnt popcorn, caramel, vanilla, dark cherries, red apples, salt, pepper, cinnamon, roasted hazelnuts. Gets sweeter and more fruity with each sip, pepper continues to build up.","sweet and spicy, warming, orange, lemon, campfire smoke becomes a little stronger, apples and blackberries, vanilla is stronger, then still ripe banana appears; in the end something menthol",,,
Marko_I,19,,"overripe red grapes, dark chocolate, latte, some nutmeg, mild, sweetish smoke","strong and full-bodied, the smoke is a bit clearer than in the nose, ashen, burnt sponge cake, goes in dark chocolate with a touch of blackberry / blackcurrant over","long, warm, dry, bittersweet, pepper, dark chocolate, a light reminder of herb bitters and black berry fruit liqueur",,,
Gloin,19,89.0,"some smoke, red fruits, sherry","little smoke, red fruits, sherry, pleasant sweetness, less creamy than Laga DE","long, dry on the palate and on the tongue, sweet in the throat",,,
PaulDvorak,19,87.0,,,,,,
HammerHead,19,83.0,,,,85,82,84
S_S,19,88.0,,,,89,88,88
Mr. D.,19,86.0,"Very pleasant, deep, multifaceted; dark chocolate, coffee, smoked bacon on one side; overripe, soft apricots and bananas, strawberry jam - on the other; all this under a layer of sweet smoke, iodine and tobacco.","There is a lot of smoke in contrast to the aroma, but it is appropriate, very pleasant; varnished wood; coffee; the berry note is strong: black currant, strawberry, blackberry; ""cherry in cognac"" sweets; again wood, chocolate, coffee.","Long, warm; sweet sherry; plum or currant jam; burnt barbecue; oak notes; the tobacco is very long, pleasant dryness, like after a smoked cigar; a little spice.",87,86,86
Florius,19,87.0,,,,,,
herby.usa,19,84.0,,,,,,
Cast Olila,19,84.0,,,,85,83,84
Whiskydufftown,20,89.0,,,,87,86,93
Landryn,20,92.0,,,,90,90,93
espritdumal,20,91.0,,,,89,91,92
nonshedders,20,,,,,,,
christophe_carles,20,83.0,,,,84,83,83
mmaclean,20,87.0,,,,,,
wbarchive_485944,21,83.0,,,,85,83,85
whiskyroma,21,81.0,,,,81,80,82
granella2003,21,82.0,,,,86,83,80
granella2003,21,82.0,"Seductive aromas of sweet sherry and malt followed by delaite smokiness and subtle notes of spices, honey, vanilla and ripe pear ","Also delicate with a light character, a mouth-watering combination of malt, smokiness and sweet sherry with hints of dried fruit, vanilla, cinnamon and nutmeg",Long and soft aftertaste of spices and a persistent smokiness,,,
granella2003,21,82.0,,,,,,
m884,21,78.0,,,,,,
Cast Olila,21,75.0,,,,74,73,72
Feusi,21,78.0,"A malty and grassy sweetnes, followed by some honey and vanilla.","The nosing notes comes into the mouth, malt, honey and vanilla, a hint of smoke in the background.",The sweetness of dried fruits are reflected into the medium to long finish.,,,
marvec,21,38.0,"Straight: cherry, wood, winey, brimstone, cognac. Dilute: honey, nuts.","salt-sweet, cherry, thin","slightly nutty, dark chocolate",,,
Bachess,21,81.0,,,,,,
NamorX68,22,84.0,"full, sweet, sherry, honey, nuts, dark fermented fruits, orange and some oak. coffee","soft, sweet, fruity, creamy, sherry, nut, oak but not bitter","medium length, slight bitterness",,,
Feusi,22,84.0,"A spicy sweetness with nice sherry notes, some wood.","Sweet and fruity sherry notes with a nice oak, really mouthfilling.","Very tatsy bottling, sweet, spicy and long finish.",,,
ldcsh,22,83.0,,,,83,83,82
keizerjos,22,81.0,,,,,,
Cast Olila,22,82.0,,,,84,81,82
robain,22,83.0,,,,84,81,83
robain,22,83.0,"Honey, spicy, maltiness - hints of sherry.","Light body, not oily at all. Smooth.Spicy on the tounge. Honey.",Some characteristics of wood. Still spicy. Medium long finish. Somewhat sweet.,,,
malthead-sven,22,81.0,"Blind tasting!  Honey, orange peel, sherry, hazelnuts, a bit of peppermint, then later wood shades and dried fruits","dry with sherry, tangerines, rather soft than strong","sticky-sweet, with nutty notes, not very bitter, almonds, medium-long",,,
sengjc,22,,,,,,,
alectron,22,,,,,,,
hs305,23,87.0,"The colour of OLD is two shades darker at old gold than NEW which is at jonquiripe corn (despite they used caramel on NEW). The nose of OLD offers a balanced sweet-peaty pofile with honeys, ripe yellow fruits, barley sugars and maritime-peaty aromas. The smoke grows stronger upon breathing without harming the balance as additional waxy and autumn floral notes join in as well. A pretty fine nose for a 12-years old, indeed1 NEW offers a quite different profile with shy unripe green fruits, more sugars and a different smokey impression (no maritime notes, rather like a cold bonfire). It is balanced too with more wood impact, but much simplier than OLD. I clearly prefer the nose from 2002.","The taste of OLD is quite bold on delicious sweet flavours over fine peat smoke notes. The fruits are present all the time as are the barley sugars, later some waxes and meaty notes (smoked bacon) join in. It is not very complex but it is a tasty mix, easy to quaff. NEW's taste is much more wood-driven with sweet barley sugars balancing the bitter tannins nicely. It is easy drinkble too but a complete different style. Again I prefer OLD clearly.","OLD arrives warming and instantly coating on the palate without distracting moments. The initial mouthfeel of NEW is warming and coating too but a little less impressive with a minor bitter-astringent moment (tannins at work). Both drams own a long finish where OLD adds some spices and herbal impressions without distracting moments at all. NEW turns more bitter during the finish with a drying mouthfeel, now the tannins of the wood take control and drive NEW out of balance, unfortunately. Water is not needed on both.",87,87,88
Slàinte Mhath,23,87.0,,,,87,88,86
Ila-Maus,23,86.0,,,,87,92,88
Edward MacKenzie,23,86.0,,,,,,
ColdAesthetics,23,85.0,"Stronger peat level than expected, but at the same time typically Caol Ila moderately oily soft, the peat is quite sweet, which is one of the roundest Islay experiences, but still unmistakably Islay. Beautiful honey sweetness, finest lemon sweet notes, a beautiful glow like a still burning out campfire, but without ashes, brown sugar, some thyme, of course, light salt, a little bit of white grapes, probably. but that is a deception of the DE in the back of my mind that I like so much, light apricot in between","Beautiful gentle salt spray on the coast, a smoldering fire, but here also no real smoke or dry ashes as other Islays, more a general ""glow"" of the coal, sweet forest honey with herbs in it, all typical CI here also beautiful oily-viscous, the apricot is also to be found in between, with core, sweet-bitter with the beautiful salt tick","The forest honey with a bit of ash remains nice, brown sugar and young oak chips, dry herbs, medium",,,
Gweddry,23,87.0,"salty, dry, bright smoke, roasted meat with plums, sweetens after a while, jam, pears, herring, lemon, chalk, forest honey, black currant, omelette, apricot jam, melon chewing gum, mango, crust of freshly baked bread","strong onset of smoke and coals, salty, herb butter, paprika, lemon pepper, omelette, sweets","long and intense, omelette, smoke, lemon pepper, coffee and cocoa, at the end of a red apple",,,
WhiskyPEATer,23,86.0,,,,86,86,85
Teomarg,23,85.0,,,,85,86,85
Scherenschnitte,23,86.0,"Hugely coastal, briny and lemony. Seaweed, oysters, sour apples, grapefruit, wet pebbles, chalky, slightly medicinal with some bandages/iodine.⁣","Very salty and brine forward. Touch of lemon, sooty ash, peat, olive oil, parsley, and background medicinal elements.⁣","Lots of ash, salty broth, touch of sweetness and lemon peel. Tad peppery at the end.⁣",,,
Igor_Gudimov,23,88.0,Sweet fruity(apricot or peach) peat campfire coal smoke,Sweet fruitiness(apricot or peach) with oily peat campfire coal smoke,"Long, ashy, sweet brown sugar",,,
dee_hamma,24,82.0,"Butterscotch, tangerines, raisins, oil for tanning","Baguette, Raisin, Belgian Waffles, Toast","Medium: raisins, toasted toast, waffles",81,80,84
Kilo1,24,80.0,,,,,,
Martin1965,24,87.0,"Heather, peach, pineapple, honey, pears","Heather, pear, tangerines","Spicy, medium length and dry with orange  Balanced, spicy and fruity",,,
Robinzon25,24,80.0,"Thick, almond, malt, vanilla, slightly oak, slightly honey, with peppercorn.","Citruses, ginger and brown bread in the foreground. Apples, hazelnuts and fruit sweets on the second.","Short, orange, honey, interspersed with cinnamon, black pepper and hazelnuts, a little creamy milk, bread, raisins. At the end, slightly bitter, oak.",,,
LeChiffre,24,79.0,intense sweet and fruity; bright fruits; Honey; slight herbal notes; mild and balanced,"mild, almost watery onset; nice syrupy mouthfeel; fruity sweetness (light fruit, citrus); Honey; behind it comes a light, pleasant oak",spicy; with a subtle sweetness; slight nut flavors; increasingly a slight bitterness occurs,79,79,78
Dris,24,79.0,,,,80,78,79
Tom na Gruagaich,24,85.0,,,,,,
BeatF,24,81.0,,,,,,
WhiskyBjorn83,24,79.0,"spices, fruit","clean, honey, fruit, spices","medium, spicy",73,83,79
oppi,24,77.0,,,,,,
KayMeertens,25,87.0,"An intense sweet smell with lots of honey. Beeswax even. Peach, pear, vanilla, grapes, figs, plums, appel syrup and tobacco.","A thick treacly, waxy honey sweetness. Furthermore pear, fig, plum, orange, vanilla and pepper. The low ABV doesn't harm in this one, it can actually take water and still stand strong.","Honey, pear, caramel, plums. A nuttiness with cocoa in the end.",,,
Gigiomix,25,70.0,,,,,,
thatcher2000,25,85.0,,,,92,87,82
Sb17sw,25,85.0,,,,82,86,86
LeChiffre,25,83.0,"Sweet, honey, oranges, herbs, vanilla","mild and soft, then spicy oak, nutty, light fruitiness","very dry, dry fruitiness, spicy oak",84,83,83
hs305,25,88.0,,,,,,
whiskyd,25,86.0,,,,82,86,88
Allandale,25,85.0,Very nice aromas  of honey with exotic fruits and burnt wood.,"Vanilla, honey and subtle smoke.","A very long and nice aftertaste, hints of vanilla and fruit at the end.",,,
oppi,25,85.0,,,,,,
GlenGabriel,25,87.0,,,,86,85,87
hs305,26,93.0,The colour is very dark at mahogany and the nose offers an adorable old style sherry profile without any off-notes or imbalances. The Aberfeldy malt is still detectable beside the bold sherry aromas as are the very appropriate wooden notes. This is a heavy sherry maturation nose at its best!,"The taste is nicely layered on all the old school sherry and malty flavours I can think of. The malt adds an interesting old style Highland profile with lots of grassy, waxy and oily impressions. The sherry is leathery, herbal, nutty with raisins, plums and orange peels. After some chewing tasty chocolatey notes pop up before the spices and herbs add a bitter layer again. Wow, what a great movie on my palate - without any moments of boredom let alone flaws...","The initial mouthfeel is warming and the dram instantly coats the whole of the mouth with a creamy texture. The finish is long and vanishes in slowly fading waves. One of them is rather malty-waxy while another one repeats the fine chocolates of the taste. Again, no distracting moments here. I did not use water on this tiny sample...",93,94,93
